freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.682e+01,2.460e+02,2.080e+01,3.136e+02
1.5,5.403e+01,1.668e+02,6.076e+01,2.816e+02
3.0,3.665e+01,4.478e+01,6.790e+01,1.493e+02
4.5,3.596e+01,2.893e+02,6.847e+01,3.937e+02
6.0,3.698e+01,1.250e+03,6.707e+01,1.354e+03
7.5,3.477e+01,2.147e+03,7.022e+01,2.252e+03
9.0,3.627e+01,2.412e+03,8.172e+01,2.530e+03
10.5,3.516e+01,3.313e+03,9.099e+01,3.439e+03
12.0,3.548e+01,5.257e+03,8.260e+01,5.375e+03
13.5,4.154e+01,8.272e+03,8.259e+01,8.396e+03
14.9,5.114e+01,1.136e+04,9.212e+01,1.151e+04
16.4,6.299e+01,1.264e+04,9.350e+01,1.280e+04
17.9,6.357e+01,1.395e+04,9.396e+01,1.411e+04
19.4,7.062e+01,1.710e+04,9.248e+01,1.726e+04
20.9,1.400e+02,2.059e+04,8.396e+01,2.081e+04
22.4,2.449e+02,2.490e+04,7.033e+01,2.521e+04
23.9,2.904e+02,2.932e+04,7.426e+01,2.969e+04
25.4,3.540e+02,3.245e+04,1.090e+02,3.291e+04
26.9,3.182e+02,3.520e+04,1.478e+02,3.567e+04
28.4,2.528e+02,4.294e+04,1.261e+02,4.332e+04
29.9,2.666e+02,5.572e+04,9.455e+01,5.609e+04
31.4,3.707e+02,7.295e+04,9.734e+01,7.341e+04
32.9,5.417e+02,9.236e+04,1.411e+02,9.305e+04
34.4,7.676e+02,1.137e+05,1.829e+02,1.147e+05
35.9,1.061e+03,1.406e+05,2.451e+02,1.419e+05
37.4,1.590e+03,1.734e+05,4.314e+02,1.754e+05
38.9,2.396e+03,2.084e+05,8.907e+02,2.117e+05
40.4,3.633e+03,2.354e+05,1.528e+03,2.405e+05
41.9,5.447e+03,2.654e+05,1.962e+03,2.728e+05
43.4,7.098e+03,2.682e+05,2.342e+03,2.776e+05
44.8,7.872e+03,2.363e+05,2.264e+03,2.464e+05
46.3,9.026e+03,2.008e+05,2.661e+03,2.125e+05
47.8,1.253e+04,1.763e+05,4.425e+03,1.932e+05
49.3,3.395e+04,1.304e+05,7.770e+03,1.721e+05
50.8,8.070e+04,8.767e+04,1.304e+04,1.814e+05
52.3,8.306e+04,7.062e+04,1.368e+04,1.674e+05
53.8,6.723e+04,6.029e+04,1.232e+04,1.398e+05
55.3,5.649e+04,4.654e+04,1.203e+04,1.151e+05
56.8,4.985e+04,3.042e+04,1.215e+04,9.243e+04
58.3,4.802e+04,2.029e+04,1.182e+04,8.013e+04
59.8,4.911e+04,1.770e+04,1.096e+04,7.777e+04
61.3,5.222e+04,2.033e+04,1.048e+04,8.302e+04
62.8,5.589e+04,2.527e+04,1.185e+04,9.301e+04
64.3,5.806e+04,3.068e+04,1.329e+04,1.020e+05
65.8,6.058e+04,4.037e+04,1.342e+04,1.144e+05
67.3,6.390e+04,5.796e+04,1.318e+04,1.350e+05
68.8,6.713e+04,7.590e+04,1.349e+04,1.565e+05
70.3,6.631e+04,8.766e+04,1.102e+04,1.650e+05
71.8,6.459e+04,9.637e+04,8.417e+03,1.694e+05
73.3,6.544e+04,1.120e+05,7.081e+03,1.846e+05
74.7,6.902e+04,1.358e+05,5.497e+03,2.103e+05
76.2,7.406e+04,1.650e+05,4.645e+03,2.437e+05
77.7,8.212e+04,1.950e+05,4.970e+03,2.821e+05
79.2,8.858e+04,2.197e+05,5.053e+03,3.134e+05
80.7,9.213e+04,2.399e+05,5.719e+03,3.377e+05
82.2,9.085e+04,2.496e+05,6.534e+03,3.470e+05
83.7,8.950e+04,2.498e+05,7.509e+03,3.468e+05
85.2,8.811e+04,2.555e+05,8.002e+03,3.516e+05
86.7,7.929e+04,2.526e+05,5.524e+03,3.374e+05
88.2,6.637e+04,2.241e+05,4.144e+03,2.946e+05
89.7,6.303e+04,2.132e+05,3.003e+03,2.793e+05
91.2,6.183e+04,2.113e+05,2.479e+03,2.757e+05
92.7,5.719e+04,1.949e+05,3.129e+03,2.552e+05
94.2,5.395e+04,1.820e+05,3.081e+03,2.391e+05
95.7,5.909e+04,1.959e+05,2.209e+03,2.572e+05
97.2,6.447e+04,2.070e+05,1.206e+03,2.727e+05
98.7,6.486e+04,1.882e+05,1.835e+03,2.549e+05
100.2,7.303e+04,1.757e+05,3.812e+03,2.525e+05
101.7,7.636e+04,1.617e+05,5.601e+03,2.436e+05
103.1,7.066e+04,1.396e+05,5.158e+03,2.154e+05
104.6,6.451e+04,1.202e+05,5.256e+03,1.899e+05
106.1,5.880e+04,1.130e+05,8.307e+03,1.801e+05
107.6,5.707e+04,1.143e+05,1.167e+04,1.831e+05
109.1,5.855e+04,1.166e+05,1.272e+04,1.879e+05
110.6,6.111e+04,1.186e+05,1.188e+04,1.916e+05
112.1,6.240e+04,1.158e+05,1.071e+04,1.890e+05
113.6,6.114e+04,1.094e+05,9.329e+03,1.799e+05
115.1,5.853e+04,9.965e+04,7.759e+03,1.659e+05
116.6,5.703e+04,8.627e+04,6.637e+03,1.499e+05
118.1,5.616e+04,7.205e+04,6.013e+03,1.342e+05
119.6,5.451e+04,6.270e+04,5.982e+03,1.232e+05
121.1,5.010e+04,6.577e+04,5.932e+03,1.218e+05
122.6,4.279e+04,8.937e+04,5.899e+03,1.381e+05
124.1,3.591e+04,1.367e+05,6.145e+03,1.787e+05
125.6,3.170e+04,2.132e+05,6.500e+03,2.514e+05
127.1,2.927e+04,3.088e+05,6.593e+03,3.447e+05
128.6,2.332e+04,3.778e+05,6.148e+03,4.073e+05
130.1,1.656e+04,4.162e+05,5.468e+03,4.382e+05
131.6,1.071e+04,4.056e+05,4.308e+03,4.206e+05
133.0,3.973e+03,1.989e+05,1.979e+03,2.049e+05
134.5,4.988e+02,2.779e+04,4.900e+02,2.878e+04
136.0,2.987e+02,1.420e+04,4.016e+02,1.491e+04
137.5,2.890e+02,1.330e+04,4.427e+02,1.403e+04
139.0,2.625e+02,1.230e+04,4.584e+02,1.303e+04
140.5,2.613e+02,1.151e+04,5.237e+02,1.230e+04
142.0,2.170e+02,9.812e+03,5.567e+02,1.059e+04
143.5,2.300e+02,8.161e+03,5.907e+02,8.982e+03
145.0,2.725e+02,6.545e+03,6.091e+02,7.426e+03
146.5,2.935e+02,6.021e+03,6.166e+02,6.931e+03
148.0,4.606e+02,5.040e+03,1.030e+03,6.530e+03
149.5,9.184e+02,4.678e+03,1.728e+03,7.324e+03
151.0,1.690e+03,5.012e+03,2.515e+03,9.216e+03
152.5,2.088e+03,4.906e+03,3.511e+03,1.051e+04
154.0,2.459e+03,4.143e+03,5.083e+03,1.168e+04
155.5,3.001e+03,3.920e+03,7.012e+03,1.393e+04
157.0,3.539e+03,4.080e+03,9.285e+03,1.690e+04
158.5,5.162e+03,4.261e+03,1.480e+04,2.422e+04
160.0,6.994e+03,6.198e+03,2.092e+04,3.412e+04
161.4,8.132e+03,8.293e+03,2.463e+04,4.106e+04
162.9,8.779e+03,9.316e+03,2.681e+04,4.490e+04
164.4,8.472e+03,9.025e+03,2.544e+04,4.294e+04
165.9,9.833e+03,7.411e+03,2.872e+04,4.597e+04
167.4,1.116e+04,5.615e+03,3.148e+04,4.825e+04
168.9,1.154e+04,4.586e+03,3.189e+04,4.801e+04
170.4,1.128e+04,3.990e+03,3.084e+04,4.612e+04
171.9,1.076e+04,3.916e+03,2.861e+04,4.329e+04
173.4,1.087e+04,4.734e+03,2.704e+04,4.264e+04
174.9,1.107e+04,6.563e+03,2.602e+04,4.366e+04
176.4,9.962e+03,1.048e+04,2.257e+04,4.301e+04
177.9,8.167e+03,1.584e+04,1.837e+04,4.238e+04
179.4,6.141e+03,1.321e+04,1.621e+04,3.556e+04
180.9,5.229e+03,4.068e+03,1.477e+04,2.406e+04
182.4,4.539e+03,2.186e+03,1.255e+04,1.927e+04
183.9,3.924e+03,2.529e+03,1.082e+04,1.728e+04
185.4,3.716e+03,3.121e+03,1.001e+04,1.685e+04
186.9,3.940e+03,4.757e+03,9.822e+03,1.852e+04
188.4,4.158e+03,7.880e+03,9.423e+03,2.146e+04
189.9,4.604e+03,1.087e+04,9.060e+03,2.454e+04
191.3,6.226e+03,9.447e+03,1.147e+04,2.714e+04
192.8,4.752e+03,4.840e+03,1.021e+04,1.981e+04
194.3,3.384e+03,5.308e+03,7.986e+03,1.668e+04
195.8,3.744e+03,5.633e+03,8.910e+03,1.829e+04
197.3,4.504e+03,5.439e+03,1.090e+04,2.084e+04
198.8,4.073e+03,5.730e+03,9.872e+03,1.967e+04
