freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.548e+01,1.930e+02,1.719e+01,2.457e+02
1.5,4.957e+01,1.329e+02,5.730e+01,2.398e+02
3.0,3.700e+01,4.070e+01,6.568e+01,1.434e+02
4.5,3.570e+01,2.616e+02,6.812e+01,3.654e+02
6.0,3.495e+01,1.107e+03,6.511e+01,1.207e+03
7.5,3.371e+01,2.073e+03,6.812e+01,2.174e+03
9.0,3.537e+01,3.320e+03,7.370e+01,3.429e+03
10.5,3.482e+01,4.245e+03,8.159e+01,4.361e+03
12.0,3.245e+01,5.825e+03,9.761e+01,5.955e+03
13.4,3.519e+01,9.539e+03,9.680e+01,9.671e+03
14.9,3.607e+01,1.234e+04,9.513e+01,1.247e+04
16.4,3.496e+01,1.199e+04,8.790e+01,1.211e+04
17.9,4.110e+01,1.336e+04,7.189e+01,1.347e+04
19.4,5.074e+01,1.606e+04,6.749e+01,1.617e+04
20.9,5.540e+01,1.828e+04,7.324e+01,1.841e+04
22.4,8.514e+01,2.200e+04,1.045e+02,2.219e+04
23.9,1.440e+02,2.665e+04,1.328e+02,2.693e+04
25.4,1.842e+02,3.131e+04,1.469e+02,3.164e+04
26.9,1.548e+02,3.706e+04,1.585e+02,3.737e+04
28.4,1.115e+02,4.493e+04,1.495e+02,4.519e+04
29.9,1.182e+02,5.613e+04,1.708e+02,5.642e+04
31.4,1.402e+02,7.048e+04,2.156e+02,7.084e+04
32.9,1.810e+02,8.819e+04,2.611e+02,8.863e+04
34.4,2.749e+02,1.074e+05,3.391e+02,1.080e+05
35.9,4.536e+02,1.291e+05,4.656e+02,1.300e+05
37.4,7.143e+02,1.534e+05,6.413e+02,1.548e+05
38.8,1.142e+03,1.775e+05,1.089e+03,1.798e+05
40.3,1.957e+03,2.008e+05,1.657e+03,2.044e+05
41.8,3.096e+03,2.242e+05,2.072e+03,2.294e+05
43.3,4.321e+03,2.277e+05,2.766e+03,2.348e+05
44.8,5.237e+03,2.077e+05,2.989e+03,2.159e+05
46.3,6.220e+03,1.794e+05,3.272e+03,1.888e+05
47.8,1.087e+04,1.574e+05,5.074e+03,1.733e+05
49.3,3.511e+04,1.085e+05,9.114e+03,1.527e+05
50.8,6.241e+04,6.709e+04,1.239e+04,1.419e+05
52.3,5.088e+04,4.921e+04,1.079e+04,1.109e+05
53.8,3.808e+04,3.851e+04,9.627e+03,8.621e+04
55.3,3.105e+04,3.150e+04,8.999e+03,7.154e+04
56.8,3.158e+04,2.795e+04,7.409e+03,6.694e+04
58.3,3.130e+04,1.831e+04,5.002e+03,5.461e+04
59.8,3.293e+04,1.157e+04,3.629e+03,4.813e+04
61.3,3.863e+04,1.233e+04,5.234e+03,5.620e+04
62.8,4.434e+04,1.583e+04,9.081e+03,6.925e+04
64.2,4.771e+04,1.942e+04,1.306e+04,8.019e+04
65.7,5.003e+04,2.613e+04,1.689e+04,9.305e+04
67.2,5.304e+04,3.735e+04,1.702e+04,1.074e+05
68.7,5.422e+04,5.027e+04,1.159e+04,1.161e+05
70.2,5.445e+04,6.071e+04,6.874e+03,1.220e+05
71.7,5.272e+04,6.600e+04,4.641e+03,1.234e+05
73.2,5.204e+04,7.309e+04,3.850e+03,1.290e+05
74.7,5.159e+04,8.047e+04,2.783e+03,1.348e+05
76.2,5.274e+04,9.030e+04,2.337e+03,1.454e+05
77.7,5.613e+04,1.045e+05,3.178e+03,1.638e+05
79.2,6.224e+04,1.256e+05,3.860e+03,1.917e+05
80.7,7.138e+04,1.566e+05,4.836e+03,2.328e+05
82.2,7.582e+04,1.804e+05,5.860e+03,2.621e+05
83.7,7.694e+04,2.075e+05,6.111e+03,2.905e+05
85.2,7.439e+04,2.231e+05,3.874e+03,3.014e+05
86.7,6.470e+04,2.029e+05,1.931e+03,2.695e+05
88.2,5.910e+04,1.895e+05,1.601e+03,2.502e+05
89.6,5.954e+04,1.979e+05,1.373e+03,2.588e+05
91.1,5.538e+04,1.873e+05,1.500e+03,2.442e+05
92.6,4.586e+04,1.566e+05,1.783e+03,2.042e+05
94.1,3.884e+04,1.351e+05,1.033e+03,1.749e+05
95.6,4.283e+04,1.478e+05,5.335e+02,1.912e+05
97.1,4.774e+04,1.529e+05,5.678e+02,2.012e+05
98.6,4.716e+04,1.261e+05,7.759e+02,1.740e+05
100.1,5.440e+04,1.121e+05,1.936e+03,1.685e+05
101.6,5.236e+04,9.553e+04,2.146e+03,1.500e+05
103.1,4.112e+04,7.319e+04,2.193e+03,1.165e+05
104.6,3.108e+04,5.783e+04,2.141e+03,9.105e+04
106.1,2.660e+04,5.626e+04,1.976e+03,8.484e+04
107.6,2.490e+04,6.241e+04,2.251e+03,8.956e+04
109.1,2.574e+04,7.297e+04,2.218e+03,1.009e+05
110.6,2.783e+04,8.353e+04,1.997e+03,1.134e+05
112.1,3.007e+04,8.893e+04,1.968e+03,1.210e+05
113.6,3.414e+04,9.227e+04,1.813e+03,1.282e+05
115.1,3.782e+04,9.296e+04,1.721e+03,1.325e+05
116.5,3.787e+04,8.582e+04,1.885e+03,1.256e+05
118.0,3.716e+04,7.497e+04,2.047e+03,1.142e+05
119.5,3.635e+04,6.560e+04,2.196e+03,1.042e+05
121.0,3.443e+04,5.854e+04,2.258e+03,9.523e+04
122.5,3.255e+04,5.996e+04,2.315e+03,9.482e+04
124.0,3.051e+04,7.189e+04,2.404e+03,1.048e+05
125.5,2.821e+04,9.695e+04,2.403e+03,1.276e+05
127.0,2.872e+04,1.504e+05,2.659e+03,1.818e+05
128.5,2.728e+04,2.270e+05,2.564e+03,2.568e+05
130.0,2.028e+04,2.818e+05,1.772e+03,3.039e+05
131.5,1.324e+04,2.910e+05,1.216e+03,3.055e+05
