freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.615e+01,3.106e+02,1.845e+01,3.952e+02
1.5,7.101e+01,2.048e+02,6.218e+01,3.379e+02
3.0,4.013e+01,4.358e+01,6.782e+01,1.515e+02
4.5,4.263e+01,3.030e+02,6.622e+01,4.118e+02
6.0,4.398e+01,1.324e+03,6.480e+01,1.433e+03
7.5,4.123e+01,2.290e+03,7.648e+01,2.408e+03
9.0,4.075e+01,2.438e+03,8.814e+01,2.567e+03
10.4,4.149e+01,3.255e+03,9.743e+01,3.394e+03
11.9,4.295e+01,4.752e+03,8.524e+01,4.881e+03
13.4,5.154e+01,7.222e+03,7.821e+01,7.352e+03
14.9,6.321e+01,9.471e+03,9.440e+01,9.628e+03
16.4,7.504e+01,1.099e+04,1.086e+02,1.117e+04
17.9,7.280e+01,1.303e+04,1.213e+02,1.322e+04
19.4,8.388e+01,1.598e+04,1.119e+02,1.618e+04
20.9,1.393e+02,1.843e+04,8.596e+01,1.865e+04
22.4,1.843e+02,2.206e+04,8.889e+01,2.234e+04
23.9,1.996e+02,2.631e+04,9.740e+01,2.661e+04
25.4,2.816e+02,3.142e+04,2.529e+02,3.196e+04
26.9,3.015e+02,3.540e+04,3.931e+02,3.610e+04
28.4,2.122e+02,4.283e+04,2.404e+02,4.328e+04
29.9,1.969e+02,5.518e+04,1.380e+02,5.552e+04
31.3,2.790e+02,7.185e+04,9.178e+01,7.222e+04
32.8,4.659e+02,9.543e+04,8.607e+01,9.598e+04
34.3,8.158e+02,1.261e+05,1.274e+02,1.271e+05
35.8,1.308e+03,1.587e+05,2.016e+02,1.602e+05
37.3,1.865e+03,1.923e+05,3.264e+02,1.945e+05
38.8,2.991e+03,2.353e+05,5.526e+02,2.389e+05
40.3,5.021e+03,2.837e+05,1.138e+03,2.899e+05
41.8,7.803e+03,3.065e+05,2.404e+03,3.167e+05
43.3,1.013e+04,2.853e+05,3.091e+03,2.986e+05
44.8,1.187e+04,2.612e+05,2.365e+03,2.754e+05
46.3,1.406e+04,2.213e+05,1.371e+03,2.367e+05
47.8,1.691e+04,1.797e+05,1.297e+03,1.979e+05
49.3,4.369e+04,1.393e+05,1.908e+03,1.849e+05
50.7,9.294e+04,1.395e+05,2.028e+03,2.344e+05
52.2,1.129e+05,1.729e+05,3.333e+03,2.891e+05
