freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.218e+01,2.064e+02,1.675e+01,2.553e+02
1.5,4.407e+01,1.456e+02,5.694e+01,2.466e+02
3.0,3.337e+01,3.929e+01,6.696e+01,1.396e+02
4.5,3.424e+01,2.932e+02,6.673e+01,3.942e+02
6.0,3.559e+01,1.301e+03,6.551e+01,1.402e+03
7.5,3.450e+01,2.247e+03,6.661e+01,2.348e+03
9.0,3.647e+01,2.406e+03,8.394e+01,2.526e+03
10.5,3.397e+01,3.309e+03,1.001e+02,3.443e+03
12.0,3.498e+01,5.413e+03,9.339e+01,5.541e+03
13.5,4.615e+01,8.453e+03,8.097e+01,8.580e+03
14.9,8.271e+01,9.858e+03,1.151e+02,1.006e+04
16.4,9.176e+01,9.975e+03,1.567e+02,1.022e+04
17.9,7.856e+01,1.244e+04,1.729e+02,1.269e+04
19.4,8.807e+01,1.595e+04,1.583e+02,1.620e+04
20.9,1.317e+02,1.941e+04,1.255e+02,1.966e+04
22.4,1.882e+02,2.437e+04,1.688e+02,2.473e+04
23.9,2.779e+02,2.894e+04,2.143e+02,2.943e+04
25.4,2.903e+02,3.236e+04,1.618e+02,3.281e+04
26.9,2.254e+02,3.863e+04,9.531e+01,3.895e+04
28.4,2.043e+02,4.777e+04,7.208e+01,4.804e+04
29.9,2.223e+02,6.116e+04,1.004e+02,6.148e+04
31.4,2.880e+02,7.865e+04,1.710e+02,7.910e+04
32.9,4.075e+02,9.763e+04,2.881e+02,9.833e+04
34.4,5.712e+02,1.203e+05,4.564e+02,1.213e+05
35.9,8.799e+02,1.470e+05,7.335e+02,1.486e+05
37.4,1.342e+03,1.778e+05,1.380e+03,1.805e+05
38.9,1.980e+03,2.027e+05,2.588e+03,2.072e+05
40.4,2.519e+03,2.047e+05,3.271e+03,2.105e+05
41.9,3.095e+03,2.042e+05,2.964e+03,2.103e+05
43.3,3.602e+03,1.887e+05,2.980e+03,1.953e+05
44.8,4.218e+03,1.601e+05,3.017e+03,1.673e+05
46.3,5.702e+03,1.402e+05,2.816e+03,1.487e+05
47.8,8.045e+03,1.292e+05,3.543e+03,1.408e+05
49.3,1.169e+04,1.113e+05,4.419e+03,1.275e+05
50.8,1.748e+04,8.519e+04,5.042e+03,1.077e+05
52.3,2.485e+04,5.388e+04,5.970e+03,8.470e+04
53.8,2.560e+04,3.108e+04,6.712e+03,6.339e+04
55.3,2.052e+04,2.082e+04,5.343e+03,4.668e+04
