freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.180e+03,1.604e+02,2.090e+02,1.549e+03
1.5,1.195e+03,7.126e+02,1.181e+03,3.089e+03
3.0,7.163e+02,8.473e+02,1.391e+03,2.955e+03
4.5,9.716e+02,7.604e+02,1.614e+03,3.346e+03
6.0,1.907e+03,8.552e+02,1.473e+03,4.234e+03
7.5,2.765e+03,8.304e+02,1.367e+03,4.963e+03
9.0,3.635e+03,9.521e+02,1.320e+03,5.907e+03
10.5,4.701e+03,1.131e+03,1.310e+03,7.142e+03
12.0,5.887e+03,1.149e+03,1.166e+03,8.202e+03
13.5,7.266e+03,8.943e+02,1.009e+03,9.170e+03
15.0,8.844e+03,7.011e+02,8.992e+02,1.044e+04
16.5,1.055e+04,6.508e+02,8.463e+02,1.205e+04
18.0,1.209e+04,6.767e+02,8.998e+02,1.367e+04
19.5,1.351e+04,7.753e+02,1.040e+03,1.533e+04
21.0,1.513e+04,7.988e+02,9.981e+02,1.693e+04
22.5,1.752e+04,7.260e+02,9.154e+02,1.916e+04
24.0,2.137e+04,7.336e+02,9.920e+02,2.309e+04
25.5,2.527e+04,7.240e+02,9.266e+02,2.692e+04
27.0,2.979e+04,7.261e+02,9.999e+02,3.151e+04
28.5,3.430e+04,7.264e+02,1.005e+03,3.603e+04
30.0,3.756e+04,7.364e+02,1.068e+03,3.937e+04
31.5,4.062e+04,7.315e+02,1.111e+03,4.247e+04
33.0,4.507e+04,7.551e+02,9.925e+02,4.682e+04
34.5,4.981e+04,8.637e+02,1.087e+03,5.176e+04
36.0,5.576e+04,8.506e+02,1.166e+03,5.778e+04
37.5,6.239e+04,8.556e+02,1.140e+03,6.438e+04
38.9,6.955e+04,8.733e+02,1.098e+03,7.152e+04
40.4,7.813e+04,8.991e+02,1.159e+03,8.019e+04
41.9,8.858e+04,1.055e+03,1.372e+03,9.100e+04
43.4,1.017e+05,9.672e+02,1.376e+03,1.040e+05
44.9,1.166e+05,8.834e+02,1.343e+03,1.189e+05
46.4,1.326e+05,8.157e+02,1.263e+03,1.347e+05
47.9,1.528e+05,7.931e+02,1.432e+03,1.550e+05
49.4,1.792e+05,8.889e+02,1.736e+03,1.818e+05
50.9,2.124e+05,1.051e+03,1.982e+03,2.155e+05
52.4,2.508e+05,1.344e+03,2.230e+03,2.544e+05
53.9,3.055e+05,1.878e+03,2.976e+03,3.104e+05
55.4,3.714e+05,2.421e+03,3.503e+03,3.773e+05
56.9,4.617e+05,2.755e+03,3.634e+03,4.681e+05
58.4,5.880e+05,2.977e+03,3.650e+03,5.946e+05
59.9,7.031e+05,2.707e+03,3.127e+03,7.089e+05
61.4,7.435e+05,2.314e+03,2.949e+03,7.488e+05
62.9,7.462e+05,2.597e+03,3.293e+03,7.521e+05
64.4,7.769e+05,3.165e+03,3.102e+03,7.831e+05
65.9,8.818e+05,2.736e+03,2.805e+03,8.874e+05
67.4,1.123e+06,2.956e+03,3.053e+03,1.129e+06
68.9,1.557e+06,3.902e+03,4.606e+03,1.566e+06
70.4,2.173e+06,5.166e+03,7.979e+03,2.186e+06
71.9,3.212e+06,9.866e+03,1.414e+04,3.236e+06
73.4,4.765e+06,2.220e+04,2.819e+04,4.815e+06
74.9,5.891e+06,3.939e+04,4.107e+04,5.972e+06
76.4,6.012e+06,4.234e+04,4.192e+04,6.096e+06
77.9,5.294e+06,2.956e+04,2.836e+04,5.352e+06
79.4,4.103e+06,1.633e+04,1.461e+04,4.134e+06
80.9,3.220e+06,9.285e+03,7.467e+03,3.236e+06
