freq,psd_x,psd_y,psd_z,psd_xyz
0.0,6.210e+01,3.099e+02,2.251e+01,3.946e+02
1.5,6.507e+01,1.996e+02,6.154e+01,3.262e+02
3.0,4.421e+01,4.731e+01,6.931e+01,1.608e+02
4.5,4.501e+01,3.182e+02,7.213e+01,4.353e+02
6.0,4.540e+01,1.443e+03,6.590e+01,1.554e+03
7.4,4.540e+01,1.891e+03,7.002e+01,2.006e+03
8.9,4.500e+01,2.086e+03,8.415e+01,2.215e+03
10.4,4.785e+01,3.182e+03,1.028e+02,3.332e+03
11.9,5.017e+01,4.723e+03,1.142e+02,4.887e+03
13.4,5.893e+01,6.885e+03,1.006e+02,7.045e+03
14.9,6.591e+01,9.443e+03,7.654e+01,9.585e+03
16.4,8.104e+01,1.132e+04,7.377e+01,1.148e+04
17.9,1.209e+02,1.365e+04,7.667e+01,1.385e+04
19.4,2.024e+02,1.687e+04,8.605e+01,1.716e+04
20.9,2.064e+02,1.938e+04,8.535e+01,1.967e+04
22.3,1.411e+02,2.272e+04,1.015e+02,2.296e+04
23.8,1.343e+02,2.759e+04,1.452e+02,2.787e+04
25.3,1.485e+02,3.162e+04,1.345e+02,3.190e+04
26.8,1.353e+02,3.860e+04,9.049e+01,3.883e+04
28.3,1.455e+02,4.886e+04,8.437e+01,4.908e+04
29.8,1.753e+02,6.245e+04,9.315e+01,6.272e+04
31.3,2.658e+02,8.165e+04,1.073e+02,8.202e+04
32.8,4.833e+02,1.081e+05,1.241e+02,1.087e+05
34.3,8.716e+02,1.433e+05,2.054e+02,1.444e+05
35.8,1.234e+03,1.756e+05,2.961e+02,1.771e+05
37.2,1.692e+03,2.053e+05,4.240e+02,2.074e+05
38.7,2.560e+03,2.438e+05,6.537e+02,2.470e+05
40.2,3.894e+03,2.755e+05,8.999e+02,2.803e+05
41.7,5.030e+03,2.765e+05,1.393e+03,2.830e+05
43.2,5.441e+03,2.390e+05,1.677e+03,2.461e+05
44.7,5.786e+03,2.050e+05,1.197e+03,2.120e+05
46.2,6.459e+03,1.813e+05,8.394e+02,1.886e+05
47.7,7.644e+03,1.551e+05,8.725e+02,1.636e+05
49.2,1.354e+04,1.358e+05,1.519e+03,1.509e+05
50.7,4.200e+04,1.186e+05,2.703e+03,1.633e+05
52.1,6.724e+04,1.212e+05,3.103e+03,1.915e+05
53.6,7.022e+04,1.290e+05,2.905e+03,2.021e+05
55.1,8.213e+04,1.524e+05,4.599e+03,2.391e+05
56.6,9.899e+04,2.008e+05,8.595e+03,3.084e+05
58.1,1.116e+05,2.544e+05,1.050e+04,3.765e+05
59.6,1.204e+05,2.880e+05,1.101e+04,4.194e+05
61.1,1.230e+05,3.083e+05,1.255e+04,4.438e+05
62.6,1.219e+05,3.257e+05,1.367e+04,4.613e+05
64.1,1.202e+05,3.338e+05,1.391e+04,4.679e+05
65.6,1.211e+05,3.407e+05,1.371e+04,4.755e+05
67.0,1.254e+05,3.627e+05,1.439e+04,5.025e+05
68.5,1.248e+05,3.861e+05,1.453e+04,5.254e+05
70.0,1.175e+05,3.856e+05,1.437e+04,5.175e+05
71.5,1.161e+05,3.766e+05,1.545e+04,5.082e+05
73.0,1.161e+05,3.778e+05,1.363e+04,5.075e+05
74.5,1.099e+05,3.524e+05,1.162e+04,4.740e+05
76.0,9.805e+04,3.143e+05,1.062e+04,4.230e+05
77.5,8.396e+04,2.800e+05,1.047e+04,3.744e+05
79.0,7.537e+04,2.611e+05,9.518e+03,3.460e+05
80.4,7.323e+04,2.627e+05,9.396e+03,3.453e+05
81.9,6.977e+04,2.591e+05,1.050e+04,3.394e+05
83.4,6.517e+04,2.449e+05,9.888e+03,3.199e+05
84.9,5.981e+04,2.209e+05,7.930e+03,2.886e+05
86.4,5.204e+04,1.856e+05,5.069e+03,2.427e+05
87.9,4.418e+04,1.565e+05,4.017e+03,2.047e+05
89.4,3.960e+04,1.398e+05,3.761e+03,1.832e+05
90.9,3.933e+04,1.344e+05,3.944e+03,1.777e+05
92.4,4.287e+04,1.423e+05,5.213e+03,1.904e+05
93.9,4.313e+04,1.389e+05,5.134e+03,1.871e+05
95.3,3.910e+04,1.224e+05,5.666e+03,1.672e+05
96.8,3.352e+04,1.020e+05,6.738e+03,1.423e+05
98.3,2.981e+04,8.480e+04,5.925e+03,1.205e+05
99.8,3.342e+04,8.621e+04,5.253e+03,1.249e+05
101.3,3.786e+04,8.309e+04,6.527e+03,1.275e+05
102.8,3.876e+04,7.633e+04,9.550e+03,1.246e+05
104.3,3.780e+04,7.368e+04,1.060e+04,1.221e+05
105.8,3.982e+04,7.791e+04,1.250e+04,1.302e+05
107.3,4.245e+04,8.210e+04,1.415e+04,1.387e+05
108.8,4.412e+04,8.058e+04,1.739e+04,1.421e+05
110.2,4.792e+04,7.585e+04,2.155e+04,1.453e+05
111.7,5.092e+04,6.931e+04,2.562e+04,1.458e+05
113.2,5.232e+04,6.350e+04,2.751e+04,1.433e+05
114.7,5.192e+04,6.247e+04,2.630e+04,1.407e+05
116.2,4.713e+04,6.799e+04,2.400e+04,1.391e+05
117.7,4.310e+04,8.256e+04,2.023e+04,1.459e+05
119.2,4.078e+04,1.118e+05,1.739e+04,1.699e+05
120.7,3.813e+04,1.602e+05,1.557e+04,2.139e+05
122.2,3.557e+04,2.256e+05,1.317e+04,2.743e+05
123.7,3.135e+04,2.897e+05,1.074e+04,3.317e+05
125.1,2.545e+04,3.325e+05,8.953e+03,3.669e+05
126.6,1.956e+04,3.544e+05,6.711e+03,3.806e+05
128.1,1.484e+04,3.607e+05,4.453e+03,3.800e+05
129.6,1.138e+04,3.629e+05,2.701e+03,3.770e+05
131.1,8.679e+03,3.444e+05,1.984e+03,3.550e+05
132.6,5.452e+03,2.329e+05,1.671e+03,2.400e+05
134.1,2.250e+03,4.719e+04,1.408e+03,5.085e+04
135.6,1.407e+03,1.309e+04,1.149e+03,1.565e+04
137.1,1.163e+03,1.218e+04,1.122e+03,1.446e+04
138.6,1.059e+03,1.118e+04,1.399e+03,1.363e+04
140.0,1.040e+03,1.058e+04,1.673e+03,1.330e+04
141.5,1.200e+03,1.133e+04,1.758e+03,1.429e+04
143.0,1.429e+03,1.220e+04,1.445e+03,1.508e+04
144.5,9.244e+02,9.093e+03,8.159e+02,1.083e+04
146.0,5.899e+02,7.962e+03,5.441e+02,9.096e+03
147.5,7.068e+02,7.796e+03,7.063e+02,9.209e+03
149.0,7.587e+02,7.269e+03,7.860e+02,8.814e+03
150.5,1.064e+03,7.918e+03,1.683e+03,1.066e+04
152.0,2.806e+03,7.326e+03,6.756e+03,1.689e+04
153.5,5.084e+03,7.969e+03,1.404e+04,2.710e+04
154.9,5.431e+03,8.290e+03,1.630e+04,3.002e+04
156.4,5.262e+03,8.172e+03,1.704e+04,3.047e+04
157.9,5.865e+03,7.999e+03,2.032e+04,3.418e+04
159.4,6.155e+03,8.912e+03,2.189e+04,3.696e+04
160.9,5.997e+03,1.072e+04,2.173e+04,3.844e+04
162.4,4.644e+03,1.299e+04,1.807e+04,3.570e+04
163.9,2.711e+03,1.541e+04,1.258e+04,3.069e+04
165.4,1.911e+03,1.537e+04,9.887e+03,2.717e+04
166.9,1.766e+03,1.565e+04,9.602e+03,2.701e+04
168.3,1.595e+03,1.713e+04,8.392e+03,2.711e+04
169.8,2.109e+03,1.784e+04,9.663e+03,2.961e+04
171.3,2.728e+03,1.694e+04,1.041e+04,3.008e+04
172.8,3.642e+03,1.583e+04,1.249e+04,3.196e+04
174.3,5.558e+03,1.421e+04,1.621e+04,3.599e+04
175.8,6.355e+03,1.131e+04,1.574e+04,3.340e+04
177.3,7.047e+03,9.703e+03,1.498e+04,3.173e+04
178.8,8.419e+03,1.079e+04,1.622e+04,3.542e+04
180.3,9.999e+03,1.199e+04,1.871e+04,4.070e+04
181.8,1.188e+04,1.244e+04,2.192e+04,4.624e+04
183.2,1.299e+04,1.271e+04,2.307e+04,4.877e+04
184.7,1.386e+04,1.195e+04,2.439e+04,5.020e+04
186.2,1.546e+04,1.136e+04,2.845e+04,5.527e+04
187.7,1.710e+04,1.224e+04,3.226e+04,6.159e+04
189.2,2.099e+04,1.431e+04,3.988e+04,7.518e+04
190.7,2.364e+04,1.054e+04,4.698e+04,8.116e+04
192.2,2.448e+04,7.694e+03,4.951e+04,8.168e+04
193.7,2.491e+04,6.541e+03,5.137e+04,8.282e+04
195.2,2.374e+04,5.353e+03,5.014e+04,7.923e+04
196.7,2.132e+04,4.833e+03,4.618e+04,7.234e+04
198.1,2.010e+04,6.036e+03,4.428e+04,7.042e+04
199.6,2.151e+04,5.651e+03,4.906e+04,7.622e+04
