freq,psd_x,psd_y,psd_z,psd_xyz
167.5,1.152e+04,1.247e+04,2.921e+04,5.320e+04
169.0,1.020e+04,9.978e+03,2.579e+04,4.597e+04
170.5,1.039e+04,9.474e+03,2.517e+04,4.503e+04
172.0,1.282e+04,1.066e+04,2.816e+04,5.164e+04
173.5,1.876e+04,1.630e+04,3.610e+04,7.117e+04
175.0,1.918e+04,2.126e+04,3.297e+04,7.340e+04
176.5,1.120e+04,1.451e+04,1.945e+04,4.516e+04
178.0,8.847e+03,5.033e+03,1.925e+04,3.313e+04
179.5,1.031e+04,4.002e+03,2.342e+04,3.774e+04
181.0,1.236e+04,4.159e+03,2.822e+04,4.474e+04
182.5,1.494e+04,4.594e+03,3.424e+04,5.377e+04
184.0,1.725e+04,4.726e+03,4.010e+04,6.208e+04
185.5,1.887e+04,4.842e+03,4.460e+04,6.831e+04
186.9,2.127e+04,5.462e+03,5.100e+04,7.773e+04
188.4,2.202e+04,5.944e+03,5.308e+04,8.104e+04
189.9,2.359e+04,6.793e+03,5.735e+04,8.773e+04
191.4,2.532e+04,6.948e+03,6.259e+04,9.486e+04
192.9,2.364e+04,5.333e+03,5.861e+04,8.759e+04
194.4,2.232e+04,5.058e+03,5.507e+04,8.245e+04
195.9,2.061e+04,5.028e+03,5.041e+04,7.605e+04
197.4,2.017e+04,4.830e+03,4.904e+04,7.403e+04
198.9,1.921e+04,4.471e+03,4.654e+04,7.022e+04
