freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.032e+01,2.385e+02,2.722e+01,3.361e+02
1.5,5.278e+01,1.513e+02,3.997e+01,2.441e+02
3.0,1.962e+01,2.475e+01,3.017e+01,7.455e+01
4.6,1.884e+01,3.030e+02,3.108e+01,3.529e+02
6.1,1.721e+01,1.179e+03,3.865e+01,1.235e+03
7.6,1.791e+01,2.042e+03,4.618e+01,2.106e+03
9.1,1.994e+01,3.016e+03,5.148e+01,3.087e+03
10.7,2.166e+01,4.441e+03,6.093e+01,4.524e+03
12.2,2.202e+01,6.347e+03,1.179e+02,6.487e+03
13.7,2.382e+01,7.880e+03,2.096e+02,8.114e+03
15.2,4.502e+01,1.070e+04,2.269e+02,1.098e+04
16.8,6.663e+01,1.025e+04,3.511e+02,1.066e+04
18.3,6.548e+01,9.712e+03,2.706e+02,1.005e+04
19.8,6.841e+01,1.243e+04,1.121e+02,1.261e+04
21.3,7.970e+01,1.628e+04,5.985e+01,1.642e+04
22.9,1.069e+02,1.887e+04,4.543e+01,1.902e+04
24.4,1.330e+02,2.123e+04,6.159e+01,2.142e+04
25.9,1.387e+02,2.284e+04,9.792e+01,2.308e+04
27.4,1.553e+02,2.110e+04,1.152e+02,2.137e+04
29.0,2.609e+02,1.799e+04,9.857e+01,1.835e+04
30.5,4.132e+02,1.499e+04,9.334e+01,1.550e+04
32.0,4.571e+02,1.461e+04,1.349e+02,1.520e+04
33.5,4.240e+02,1.519e+04,1.624e+02,1.578e+04
35.1,4.260e+02,1.661e+04,2.086e+02,1.725e+04
36.6,4.691e+02,1.817e+04,2.782e+02,1.892e+04
38.1,5.469e+02,2.035e+04,3.256e+02,2.122e+04
39.6,8.056e+02,2.387e+04,3.490e+02,2.503e+04
41.2,1.265e+03,2.811e+04,3.785e+02,2.976e+04
42.7,1.999e+03,3.483e+04,4.204e+02,3.725e+04
44.2,3.203e+03,4.396e+04,5.239e+02,4.769e+04
45.7,5.408e+03,5.442e+04,6.404e+02,6.046e+04
47.3,1.200e+04,7.001e+04,7.967e+02,8.280e+04
48.8,3.941e+04,7.382e+04,3.539e+03,1.168e+05
50.3,7.570e+04,6.903e+04,1.034e+04,1.551e+05
51.8,7.681e+04,7.418e+04,1.435e+04,1.653e+05
53.4,6.685e+04,7.942e+04,1.743e+04,1.637e+05
54.9,6.085e+04,8.741e+04,2.156e+04,1.698e+05
56.4,6.240e+04,1.106e+05,2.568e+04,1.987e+05
57.9,6.633e+04,1.334e+05,2.644e+04,2.262e+05
59.4,6.808e+04,1.352e+05,2.626e+04,2.295e+05
61.0,7.397e+04,1.351e+05,2.712e+04,2.362e+05
62.5,8.861e+04,1.686e+05,3.277e+04,2.899e+05
64.0,1.097e+05,2.596e+05,4.046e+04,4.098e+05
65.5,1.281e+05,3.804e+05,4.092e+04,5.494e+05
67.1,1.384e+05,4.790e+05,3.333e+04,6.507e+05
68.6,1.421e+05,5.004e+05,2.992e+04,6.724e+05
70.1,1.447e+05,4.935e+05,3.097e+04,6.692e+05
71.6,1.454e+05,4.799e+05,3.608e+04,6.614e+05
73.2,1.470e+05,4.767e+05,4.226e+04,6.660e+05
74.7,1.505e+05,4.842e+05,4.436e+04,6.791e+05
76.2,1.592e+05,5.420e+05,3.631e+04,7.375e+05
77.7,1.580e+05,5.917e+05,2.360e+04,7.734e+05
79.3,1.386e+05,5.301e+05,1.748e+04,6.862e+05
80.8,1.167e+05,4.534e+05,1.455e+04,5.846e+05
82.3,1.029e+05,3.990e+05,1.545e+04,5.174e+05
83.8,9.465e+04,3.534e+05,1.511e+04,4.632e+05
85.4,8.749e+04,3.226e+05,1.306e+04,4.232e+05
86.9,8.191e+04,3.025e+05,1.151e+04,3.960e+05
88.4,7.623e+04,2.839e+05,1.177e+04,3.719e+05
89.9,6.834e+04,2.509e+05,1.415e+04,3.334e+05
91.5,6.346e+04,2.260e+05,1.509e+04,3.046e+05
93.0,6.182e+04,2.135e+05,1.551e+04,2.909e+05
94.5,6.550e+04,2.239e+05,1.339e+04,3.028e+05
96.0,6.927e+04,2.371e+05,7.924e+03,3.143e+05
97.6,6.648e+04,2.129e+05,4.544e+03,2.839e+05
99.1,6.777e+04,1.999e+05,4.120e+03,2.718e+05
100.6,6.884e+04,2.140e+05,4.615e+03,2.874e+05
102.1,6.711e+04,2.230e+05,4.623e+03,2.947e+05
103.7,6.757e+04,2.187e+05,3.958e+03,2.903e+05
105.2,6.757e+04,2.099e+05,2.865e+03,2.803e+05
106.7,6.482e+04,1.968e+05,2.267e+03,2.639e+05
108.2,5.990e+04,1.757e+05,2.233e+03,2.378e+05
109.8,5.150e+04,1.433e+05,2.756e+03,1.975e+05
111.3,4.033e+04,1.062e+05,5.633e+03,1.521e+05
112.8,3.421e+04,8.051e+04,1.073e+04,1.254e+05
114.3,4.005e+04,8.772e+04,1.350e+04,1.413e+05
115.8,5.054e+04,9.537e+04,1.263e+04,1.585e+05
117.4,6.176e+04,8.752e+04,1.146e+04,1.607e+05
118.9,6.966e+04,7.502e+04,1.002e+04,1.547e+05
120.4,7.034e+04,6.709e+04,9.094e+03,1.465e+05
121.9,6.825e+04,7.230e+04,8.534e+03,1.491e+05
123.5,6.703e+04,9.709e+04,8.215e+03,1.723e+05
