freq,psd_x,psd_y,psd_z,psd_xyz
0.0,7.704e+01,4.814e+02,1.245e+03,1.804e+03
1.5,2.393e+02,9.636e+02,2.067e+03,3.270e+03
3.0,2.858e+02,8.152e+02,1.996e+03,3.096e+03
4.5,2.890e+02,7.799e+02,2.603e+03,3.672e+03
6.0,3.264e+02,8.583e+02,3.114e+03,4.299e+03
7.5,4.152e+02,1.094e+03,4.581e+03,6.090e+03
9.0,4.601e+02,1.225e+03,6.371e+03,8.056e+03
10.5,4.848e+02,1.281e+03,6.242e+03,8.008e+03
12.0,5.970e+02,1.311e+03,6.968e+03,8.876e+03
13.5,7.686e+02,1.538e+03,8.239e+03,1.054e+04
15.0,8.055e+02,1.885e+03,1.056e+04,1.325e+04
16.5,8.382e+02,1.947e+03,1.307e+04,1.586e+04
18.0,8.148e+02,1.898e+03,1.477e+04,1.748e+04
19.5,7.603e+02,1.481e+03,1.589e+04,1.813e+04
21.0,6.063e+02,1.424e+03,1.834e+04,2.037e+04
22.5,5.495e+02,1.331e+03,2.149e+04,2.338e+04
24.0,5.468e+02,1.462e+03,2.662e+04,2.863e+04
25.5,7.025e+02,1.834e+03,3.391e+04,3.645e+04
27.0,7.521e+02,2.420e+03,4.186e+04,4.503e+04
28.4,6.386e+02,2.283e+03,4.775e+04,5.067e+04
29.9,5.279e+02,2.165e+03,5.394e+04,5.664e+04
31.4,4.123e+02,2.058e+03,6.149e+04,6.396e+04
32.9,3.681e+02,2.302e+03,7.113e+04,7.380e+04
34.4,3.906e+02,2.718e+03,8.748e+04,9.059e+04
35.9,3.986e+02,3.757e+03,1.105e+05,1.146e+05
37.4,3.696e+02,4.933e+03,1.370e+05,1.423e+05
38.9,3.581e+02,5.778e+03,1.687e+05,1.748e+05
40.4,3.553e+02,8.018e+03,2.186e+05,2.270e+05
41.9,4.405e+02,1.191e+04,2.971e+05,3.094e+05
43.4,4.053e+02,1.831e+04,4.177e+05,4.364e+05
44.9,3.814e+02,3.154e+04,6.491e+05,6.811e+05
46.4,5.111e+02,7.771e+04,1.241e+06,1.319e+06
47.9,1.093e+03,2.679e+05,2.915e+06,3.184e+06
49.4,2.487e+03,6.201e+05,5.088e+06,5.711e+06
50.9,2.980e+03,7.451e+05,5.099e+06,5.847e+06
52.4,2.587e+03,6.445e+05,3.817e+06,4.464e+06
53.9,1.994e+03,5.409e+05,2.797e+06,3.340e+06
55.4,1.455e+03,4.672e+05,2.126e+06,2.595e+06
56.9,1.301e+03,4.471e+05,1.749e+06,2.198e+06
58.4,1.442e+03,4.556e+05,1.517e+06,1.974e+06
59.9,1.885e+03,4.879e+05,1.340e+06,1.829e+06
61.4,2.470e+03,5.971e+05,1.257e+06,1.856e+06
62.9,3.172e+03,7.348e+05,1.188e+06,1.926e+06
64.4,4.517e+03,7.814e+05,1.017e+06,1.803e+06
65.9,6.996e+03,7.775e+05,8.153e+05,1.600e+06
67.4,9.677e+03,7.267e+05,6.264e+05,1.363e+06
68.9,1.338e+04,5.673e+05,4.185e+05,9.991e+05
70.4,1.639e+04,3.897e+05,2.543e+05,6.604e+05
71.9,1.837e+04,3.106e+05,1.800e+05,5.090e+05
73.4,2.056e+04,3.004e+05,1.498e+05,4.708e+05
74.9,2.193e+04,2.948e+05,1.251e+05,4.419e+05
76.4,2.279e+04,2.792e+05,9.934e+04,4.014e+05
77.9,2.526e+04,2.649e+05,8.108e+04,3.712e+05
79.4,3.069e+04,2.862e+05,8.207e+04,3.989e+05
80.9,3.734e+04,3.358e+05,9.130e+04,4.645e+05
82.3,4.643e+04,3.524e+05,8.809e+04,4.869e+05
83.8,5.775e+04,3.595e+05,7.994e+04,4.972e+05
85.3,6.672e+04,3.582e+05,7.396e+04,4.989e+05
86.8,5.822e+04,3.572e+05,7.362e+04,4.890e+05
88.3,4.431e+04,3.382e+05,7.163e+04,4.541e+05
89.8,3.811e+04,3.000e+05,6.051e+04,3.986e+05
91.3,4.135e+04,2.477e+05,4.866e+04,3.377e+05
92.8,3.832e+04,1.991e+05,3.858e+04,2.760e+05
94.3,3.003e+04,1.748e+05,2.981e+04,2.346e+05
95.8,2.867e+04,2.161e+05,2.122e+04,2.660e+05
97.3,3.435e+04,3.595e+05,1.705e+04,4.109e+05
98.8,4.086e+04,5.204e+05,1.975e+04,5.810e+05
100.3,4.513e+04,6.382e+05,2.394e+04,7.073e+05
101.8,4.336e+04,6.630e+05,2.757e+04,7.339e+05
103.3,3.716e+04,6.395e+05,3.047e+04,7.072e+05
104.8,3.145e+04,5.760e+05,3.072e+04,6.382e+05
106.3,2.937e+04,5.084e+05,2.802e+04,5.657e+05
107.8,3.093e+04,4.635e+05,2.788e+04,5.223e+05
109.3,3.366e+04,4.303e+05,2.816e+04,4.921e+05
110.8,3.465e+04,3.779e+05,2.824e+04,4.407e+05
112.3,3.144e+04,2.986e+05,2.568e+04,3.557e+05
113.8,2.892e+04,2.329e+05,2.243e+04,2.842e+05
115.3,3.078e+04,2.006e+05,2.188e+04,2.532e+05
116.8,2.968e+04,1.874e+05,2.305e+04,2.402e+05
118.3,2.519e+04,1.767e+05,2.475e+04,2.267e+05
119.8,2.106e+04,1.660e+05,2.648e+04,2.135e+05
121.3,1.891e+04,1.521e+05,2.767e+04,1.987e+05
122.8,2.450e+04,1.326e+05,2.628e+04,1.834e+05
124.3,3.775e+04,1.457e+05,2.461e+04,2.081e+05
125.8,4.739e+04,1.516e+05,2.759e+04,2.266e+05
127.3,5.469e+04,1.344e+05,2.959e+04,2.187e+05
128.8,6.056e+04,1.167e+05,2.983e+04,2.071e+05
130.3,6.456e+04,1.002e+05,2.880e+04,1.936e+05
131.8,6.792e+04,7.855e+04,2.518e+04,1.717e+05
133.3,5.953e+04,3.685e+04,1.316e+04,1.095e+05
134.8,4.488e+04,1.040e+04,4.597e+03,5.988e+04
136.2,3.172e+04,9.089e+03,3.741e+03,4.455e+04
137.7,1.911e+04,9.094e+03,3.685e+03,3.189e+04
139.2,1.434e+04,1.053e+04,4.218e+03,2.909e+04
140.7,1.203e+04,1.135e+04,4.028e+03,2.742e+04
142.2,1.160e+04,1.172e+04,4.194e+03,2.751e+04
143.7,9.518e+03,1.198e+04,4.044e+03,2.554e+04
145.2,9.782e+03,1.533e+04,4.688e+03,2.980e+04
146.7,1.441e+04,1.803e+04,7.171e+03,3.962e+04
148.2,1.846e+04,1.587e+04,6.052e+03,4.038e+04
149.7,1.766e+04,1.310e+04,6.638e+03,3.739e+04
151.2,1.309e+04,1.020e+04,7.416e+03,3.071e+04
152.7,1.043e+04,9.973e+03,1.071e+04,3.111e+04
154.2,1.045e+04,1.178e+04,1.272e+04,3.496e+04
155.7,1.036e+04,1.255e+04,1.216e+04,3.507e+04
157.2,8.246e+03,1.247e+04,9.976e+03,3.069e+04
158.7,7.313e+03,1.240e+04,7.936e+03,2.765e+04
160.2,7.724e+03,1.498e+04,8.189e+03,3.089e+04
161.7,9.202e+03,1.685e+04,7.710e+03,3.376e+04
163.2,8.467e+03,1.661e+04,6.478e+03,3.155e+04
164.7,6.692e+03,1.520e+04,6.229e+03,2.812e+04
166.2,5.622e+03,1.378e+04,5.360e+03,2.476e+04
167.7,5.107e+03,1.335e+04,4.430e+03,2.289e+04
169.2,4.892e+03,1.230e+04,4.123e+03,2.132e+04
170.7,4.877e+03,1.038e+04,4.281e+03,1.954e+04
172.2,5.567e+03,8.970e+03,4.386e+03,1.892e+04
173.7,7.490e+03,8.597e+03,4.534e+03,2.062e+04
175.2,9.579e+03,8.356e+03,4.602e+03,2.254e+04
176.7,1.169e+04,9.210e+03,4.911e+03,2.581e+04
178.2,1.598e+04,1.012e+04,6.814e+03,3.291e+04
179.7,2.176e+04,1.264e+04,1.018e+04,4.458e+04
181.2,2.660e+04,1.457e+04,1.313e+04,5.430e+04
182.7,3.047e+04,1.753e+04,1.693e+04,6.493e+04
184.2,3.731e+04,1.624e+04,1.940e+04,7.295e+04
185.7,4.940e+04,1.004e+04,2.252e+04,8.196e+04
187.2,5.372e+04,7.460e+03,2.380e+04,8.497e+04
188.7,5.595e+04,6.376e+03,2.296e+04,8.529e+04
190.1,5.979e+04,5.393e+03,2.378e+04,8.897e+04
191.6,6.531e+04,5.482e+03,2.590e+04,9.670e+04
193.1,6.936e+04,7.236e+03,2.713e+04,1.037e+05
194.6,7.076e+04,1.105e+04,2.709e+04,1.089e+05
196.1,6.634e+04,1.331e+04,2.143e+04,1.011e+05
197.6,5.564e+04,1.335e+04,1.440e+04,8.339e+04
199.1,4.408e+04,1.355e+04,1.007e+04,6.771e+04
