freq,psd_x,psd_y,psd_z,psd_xyz
0.0,3.347e+02,1.141e+02,5.077e+02,9.565e+02
1.5,1.505e+03,3.579e+02,3.045e+02,2.167e+03
3.0,1.466e+03,4.907e+02,5.010e+01,2.007e+03
4.6,1.059e+03,6.142e+02,3.546e+02,2.028e+03
6.1,1.261e+03,4.866e+02,1.278e+03,3.025e+03
7.6,1.433e+03,4.521e+02,2.131e+03,4.016e+03
9.1,1.412e+03,5.795e+02,3.095e+03,5.086e+03
10.7,1.678e+03,6.002e+02,4.327e+03,6.606e+03
12.2,1.541e+03,6.479e+02,5.846e+03,8.035e+03
13.7,1.499e+03,6.993e+02,7.282e+03,9.480e+03
15.2,1.477e+03,6.978e+02,9.861e+03,1.204e+04
16.8,1.503e+03,7.828e+02,1.135e+04,1.364e+04
18.3,1.554e+03,7.373e+02,1.025e+04,1.255e+04
19.8,1.651e+03,6.684e+02,1.182e+04,1.414e+04
21.3,1.776e+03,6.968e+02,1.493e+04,1.740e+04
22.9,1.794e+03,6.236e+02,1.817e+04,2.058e+04
24.4,1.323e+03,7.333e+02,2.192e+04,2.398e+04
25.9,1.354e+03,7.627e+02,2.594e+04,2.806e+04
27.4,1.636e+03,6.919e+02,3.049e+04,3.281e+04
29.0,1.565e+03,6.055e+02,3.615e+04,3.832e+04
30.5,1.457e+03,6.757e+02,4.135e+04,4.348e+04
32.0,1.326e+03,6.645e+02,4.414e+04,4.613e+04
33.5,1.218e+03,6.324e+02,5.012e+04,5.198e+04
35.1,1.598e+03,5.680e+02,5.772e+04,5.989e+04
36.6,1.645e+03,5.851e+02,6.707e+04,6.930e+04
38.1,1.402e+03,6.619e+02,7.904e+04,8.110e+04
39.6,1.428e+03,6.778e+02,9.349e+04,9.559e+04
41.1,1.499e+03,8.042e+02,1.109e+05,1.132e+05
42.7,1.350e+03,1.031e+03,1.322e+05,1.345e+05
44.2,1.294e+03,1.399e+03,1.613e+05,1.639e+05
45.7,1.660e+03,3.167e+03,2.024e+05,2.072e+05
47.2,2.225e+03,6.233e+03,2.524e+05,2.609e+05
48.8,2.947e+03,8.926e+03,3.164e+05,3.283e+05
50.3,3.673e+03,1.172e+04,4.008e+05,4.162e+05
51.8,4.469e+03,1.479e+04,5.057e+05,5.249e+05
53.3,6.441e+03,2.118e+04,6.901e+05,7.178e+05
54.9,1.123e+04,3.294e+04,9.795e+05,1.024e+06
56.4,1.969e+04,5.505e+04,1.339e+06,1.414e+06
57.9,2.993e+04,8.079e+04,1.683e+06,1.794e+06
59.4,3.668e+04,9.643e+04,1.886e+06,2.019e+06
61.0,4.065e+04,1.099e+05,1.879e+06,2.030e+06
62.5,4.450e+04,1.125e+05,1.505e+06,1.662e+06
64.0,4.153e+04,1.019e+05,1.003e+06,1.146e+06
65.5,3.501e+04,8.387e+04,6.621e+05,7.810e+05
67.1,3.568e+04,8.230e+04,6.965e+05,8.144e+05
68.6,4.409e+04,9.256e+04,1.014e+06,1.151e+06
70.1,4.670e+04,9.902e+04,1.196e+06,1.342e+06
71.6,3.741e+04,9.054e+04,1.038e+06,1.166e+06
73.1,2.887e+04,7.732e+04,7.909e+05,8.971e+05
74.7,2.296e+04,6.720e+04,5.893e+05,6.795e+05
76.2,1.723e+04,5.865e+04,4.875e+05,5.634e+05
77.7,1.503e+04,5.201e+04,4.294e+05,4.964e+05
